itemid,code,type,category,label,description
61015,983 ,HFCA_DRG,NA,NA,EXTENSIVE O.R. PROCEDURE UNRELATED TO PR
61016,987 ,HFCA_DRG,NA,NA,NON-EXTENSIVE O.R. PROC UNRELATED TO PRI
61017,988 ,HFCA_DRG,NA,NA,NON-EXTENSIVE O.R. PROC UNRELATED TO PRI
61018,989 ,HFCA_DRG,NA,NA,NON-EXTENSIVE O.R. PROC UNRELATED TO PRI
70001,NA,MICROBIOLOGY,SPECIMEN,NA,NA
70002,TS,MICROBIOLOGY,SPECIMEN,THROAT FOR STREP,NA
70003,ABW,MICROBIOLOGY,SPECIMEN,ABSCESS,NA
70004,ART,MICROBIOLOGY,SPECIMEN,ARTHROPOD,NA
70005,ASW,MICROBIOLOGY,SPECIMEN,ASPIRATE,NA
70006,AVG,MICROBIOLOGY,SPECIMEN,ANORECTAL/VAGINAL CULTURE,NA
70007,BBF,MICROBIOLOGY,SPECIMEN,BLOOD BAG FLUID,NA
70008,BBP,MICROBIOLOGY,SPECIMEN,BRONCHIAL BRUSH - PROTECTED,NA
70009,BIF,MICROBIOLOGY,SPECIMEN,BILE,NA
70010,BIO,MICROBIOLOGY,SPECIMEN,BIOPSY,NA
70011,BIS,MICROBIOLOGY,SPECIMEN,BLOOD CULTURE ( MYCO/F LYTIC BOTTLE),NA
70012,BLC,MICROBIOLOGY,SPECIMEN,BLOOD CULTURE,NA
70013,BLF,MICROBIOLOGY,SPECIMEN,FLUID RECEIVED IN BLOOD CULTURE BOTTLES,NA
70014,BLN,MICROBIOLOGY,SPECIMEN,BLOOD CULTURE - NEONATE,NA
70015,BLO,MICROBIOLOGY,SPECIMEN,BLOOD,NA
70016,BLP,MICROBIOLOGY,SPECIMEN,BLOOD CULTURE (POST-MORTEM),NA
70017,BLS,MICROBIOLOGY,SPECIMEN,SEROLOGY/BLOOD,NA
70018,BMA,MICROBIOLOGY,SPECIMEN,BONE MARROW,NA
70019,BMC,MICROBIOLOGY,SPECIMEN,BONE MARROW - CYTOGENETICS,NA
70020,BRB,MICROBIOLOGY,SPECIMEN,BRONCHIAL BRUSH,NA
70021,BRL,MICROBIOLOGY,SPECIMEN,BRONCHOALVEOLAR LAVAGE,NA
70022,BRW,MICROBIOLOGY,SPECIMEN,BRONCHIAL WASHINGS,NA
70023,CAW,MICROBIOLOGY,SPECIMEN,CATHETER TIP-IV,NA
70024,CMV,MICROBIOLOGY,SPECIMEN,VIRAL CULTURE: R/O CYTOMEGALOVIRUS,NA
70025,CRE,MICROBIOLOGY,SPECIMEN,CRE Screen,NA
70026,CSF,MICROBIOLOGY,SPECIMEN,CSF;SPINAL FLUID,NA
70027,CSW,MICROBIOLOGY,SPECIMEN,CORNEAL EYE SCRAPINGS,NA
70028,DHS,MICROBIOLOGY,SPECIMEN,Direct Antigen Test for Herpes Simplex Virus Types 1 & 2,NA
70029,DIF,MICROBIOLOGY,SPECIMEN,DIALYSIS FLUID,NA
70030,DVZ,MICROBIOLOGY,SPECIMEN,DIRECT ANTIGEN TEST FOR VARICELLA-ZOSTER VIRUS,NA
70031,EAR,MICROBIOLOGY,SPECIMEN,EAR,NA
70032,EBV,MICROBIOLOGY,SPECIMEN,Blood (EBV),NA
70033,EYR,MICROBIOLOGY,SPECIMEN,EYE,NA
70034,FBO,MICROBIOLOGY,SPECIMEN,FOREIGN BODY,NA
70035,FCY,MICROBIOLOGY,SPECIMEN,"FLUID,OTHER",NA
70036,FLW,MICROBIOLOGY,SPECIMEN,FLUID WOUND,NA
70037,FOW,MICROBIOLOGY,SPECIMEN,FOOT CULTURE,NA
70038,FSN,MICROBIOLOGY,SPECIMEN,FECAL SWAB,NA
70039,GAS,MICROBIOLOGY,SPECIMEN,GASTRIC ASPIRATE,NA
70040,GCP,MICROBIOLOGY,SPECIMEN,SWAB,NA
70041,HSV,MICROBIOLOGY,SPECIMEN,VIRAL CULTURE:R/O HERPES SIMPLEX VIRUS,NA
70042,IAB,MICROBIOLOGY,SPECIMEN,Influenza A/B by DFA,NA
70043,IBL,MICROBIOLOGY,SPECIMEN,Influenza A/B by DFA - Bronch Lavage,NA
70044,IBW,MICROBIOLOGY,SPECIMEN,Influenza A/B by DFA - Bronch Wash,NA
70045,IMC,MICROBIOLOGY,SPECIMEN,Immunology (CMV),NA
70046,IMM,MICROBIOLOGY,SPECIMEN,IMMUNOLOGY,NA
70047,JOF,MICROBIOLOGY,SPECIMEN,JOINT FLUID,NA
70048,NAI,MICROBIOLOGY,SPECIMEN,NAIL SCRAPINGS,NA
70049,NBL,MICROBIOLOGY,SPECIMEN,NEOPLASTIC BLOOD,NA
70050,NOR,MICROBIOLOGY,SPECIMEN,NOSE,NA
70051,OFF,MICROBIOLOGY,SPECIMEN,"FLUID,OTHER",NA
70052,PBL,MICROBIOLOGY,SPECIMEN,PERIPHERAL BLOOD LYMPHOCYTES,NA
70053,PEF,MICROBIOLOGY,SPECIMEN,PERITONEAL FLUID,NA
70054,PLF,MICROBIOLOGY,SPECIMEN,PLEURAL FLUID,NA
70055,PMC,MICROBIOLOGY,SPECIMEN,POSTMORTEM CULTURE,NA
70056,RGC,MICROBIOLOGY,SPECIMEN,RECTAL - R/O GC,NA
70057,RRV,MICROBIOLOGY,SPECIMEN,Rapid Respiratory Viral Screen & Culture,NA
70058,RVA,MICROBIOLOGY,SPECIMEN,RAPID RESPIRATORY VIRAL ANTIGEN TEST,NA
70059,SAS,MICROBIOLOGY,SPECIMEN,Staph aureus Screen,NA
70060,SCB,MICROBIOLOGY,SPECIMEN,Stem Cell - Blood Culture,NA
70061,SKI,MICROBIOLOGY,SPECIMEN,SKIN SCRAPINGS,NA
70062,SPR,MICROBIOLOGY,SPECIMEN,SPUTUM,NA
70063,STC,MICROBIOLOGY,SPECIMEN,STERILITY CULTURE,NA
70064,STO,MICROBIOLOGY,SPECIMEN,STOOL,NA
70065,STP,MICROBIOLOGY,SPECIMEN,SCOTCH TAPE PREP/PADDLE,NA
70066,STS,MICROBIOLOGY,SPECIMEN,STOOL (RECEIVED IN TRANSPORT SYSTEM),NA
70067,SWF,MICROBIOLOGY,SPECIMEN,SWAB,NA
70068,SWG,MICROBIOLOGY,SPECIMEN,SWAB,NA
70069,SWR,MICROBIOLOGY,SPECIMEN,SWAB,NA
70070,SWW,MICROBIOLOGY,SPECIMEN,SWAB,NA
70071,SYE,MICROBIOLOGY,SPECIMEN,SWAB - R/O YEAST,NA
70072,TAS,MICROBIOLOGY,SPECIMEN,TRACHEAL ASPIRATE,NA
70073,TCY,MICROBIOLOGY,SPECIMEN,TISSUE,NA
70074,TGC,MICROBIOLOGY,SPECIMEN,THROAT,NA
70075,THR,MICROBIOLOGY,SPECIMEN,THROAT CULTURE,NA
70076,TIS,MICROBIOLOGY,SPECIMEN,TISSUE,NA
70077,UPC,MICROBIOLOGY,SPECIMEN,URINE,NA
70078,UPR,MICROBIOLOGY,SPECIMEN,"URINE,PROSTATIC MASSAGE",NA
70079,URI,MICROBIOLOGY,SPECIMEN,URINE,NA
70080,URK,MICROBIOLOGY,SPECIMEN,"URINE,KIDNEY",NA
70081,URS,MICROBIOLOGY,SPECIMEN,URINE,NA
70082,USU,MICROBIOLOGY,SPECIMEN,"URINE,SUPRAPUBIC ASPIRATE",NA
70083,VZC,MICROBIOLOGY,SPECIMEN,VARICELLA-ZOSTER CULTURE,NA
70084,WOG,MICROBIOLOGY,SPECIMEN,SWAB,NA
70085,WOR,MICROBIOLOGY,SPECIMEN,WORM,NA
70086,XXX,MICROBIOLOGY,SPECIMEN,XXX,NA
70087,CMVP,MICROBIOLOGY,SPECIMEN,Blood (CMV AB),NA
70088,EBVP,MICROBIOLOGY,SPECIMEN,Blood (EBV),NA
70089,MALA,MICROBIOLOGY,SPECIMEN,Blood (Malaria),NA
70090,MBAL,MICROBIOLOGY,SPECIMEN,Mini-BAL,NA
70091,MRSA,MICROBIOLOGY,SPECIMEN,MRSA SCREEN,NA
70092,ROGC,MICROBIOLOGY,SPECIMEN,"SWAB, R/O GC",NA
70093,TOXOP,MICROBIOLOGY,SPECIMEN,Blood (Toxo),NA
101464,8251 ,PROCEDURE,NA,NA,HAND TENDON ADVANCEMENT  
101465,8256 ,PROCEDURE,NA,NA,TRANSPLANT HAND TEND NEC 
101466,8257 ,PROCEDURE,NA,NA,TRANSPOSIT HAND TEND NEC 
101467,8269 ,PROCEDURE,NA,NA,THUMB RECONSTRUCTION NEC 
101468,8272 ,PROCEDURE,NA,NA,PLAST OP HND-MUS/FAS GRF 
101469,8279 ,PROCEDURE,NA,NA,PLAST OP HAND W GRFT NEC 
101470,8281 ,PROCEDURE,NA,NA,TRANSFER OF FINGER       
101471,8286 ,PROCEDURE,NA,NA,OTHER TENOPLASTY OF HAND 
101472,8289 ,PROCEDURE,NA,NA,HAND PLASTIC OP NEC      
101473,8301 ,PROCEDURE,NA,NA,TENDON SHEATH EXPLORAT   
101474,8302 ,PROCEDURE,NA,NA,MYOTOMY                  
101475,8303 ,PROCEDURE,NA,NA,BURSOTOMY                
101476,8309 ,PROCEDURE,NA,NA,SOFT TISSUE INCISION NEC 
101477,8313 ,PROCEDURE,NA,NA,OTHER TENOTOMY           
101478,8314 ,PROCEDURE,NA,NA,FASCIOTOMY               
101479,8319 ,PROCEDURE,NA,NA,SOFT TISSUE DIVISION NEC 
101480,8321 ,PROCEDURE,NA,NA,SOFT TISSUE BIOPSY       
101481,8331 ,PROCEDURE,NA,NA,EXCIS LES TENDON SHEATH  
101482,8332 ,PROCEDURE,NA,NA,EXCIS LESION OF MUSCLE   
101483,8339 ,PROCEDURE,NA,NA,EXC LES SOFT TISSUE NEC  
101484,8342 ,PROCEDURE,NA,NA,OTHER TENONECTOMY        
101485,8343 ,PROCEDURE,NA,NA,MUSC/FASC EXCIS FOR GRFT 
101486,8344 ,PROCEDURE,NA,NA,OTHER FASCIECTOMY        
101487,8345 ,PROCEDURE,NA,NA,OTHER MYECTOMY           
101488,8349 ,PROCEDURE,NA,NA,OTHER SOFT TISSUE EXCIS  
101489,835  ,PROCEDURE,NA,NA,BURSECTOMY               
101490,8361 ,PROCEDURE,NA,NA,TENDON SHEATH SUTURE     
101491,8363 ,PROCEDURE,NA,NA,ROTATOR CUFF REPAIR      
101492,8364 ,PROCEDURE,NA,NA,OTHER SUTURE OF TENDON   
101493,8365 ,PROCEDURE,NA,NA,OTHER MUSCLE/FASC SUTURE 
101494,8375 ,PROCEDURE,NA,NA,TENDON TRNSFR/TRANSPLANT 
101495,8377 ,PROCEDURE,NA,NA,MUSCLE TRNSFR/TRANSPLANT 
101496,8379 ,PROCEDURE,NA,NA,OTHER MUSCLE TRANSPOSIT  
101497,8382 ,PROCEDURE,NA,NA,MUSCLE OR FASCIA GRAFT   
101498,8385 ,PROCEDURE,NA,NA,MUSC/TEND LNG CHANGE NEC 
101499,8386 ,PROCEDURE,NA,NA,QUADRICEPSPLASTY         
101500,8387 ,PROCEDURE,NA,NA,OTHER PLASTIC OPS MUSCLE 
101501,8388 ,PROCEDURE,NA,NA,OTHER PLASTIC OPS TENDON 
101502,8394 ,PROCEDURE,NA,NA,ASPIRATION OF BURSA      
101503,8395 ,PROCEDURE,NA,NA,SOFT TISSUE ASPIRAT NEC  
101504,8401 ,PROCEDURE,NA,NA,FINGER AMPUTATION        
101505,8402 ,PROCEDURE,NA,NA,THUMB AMPUTATION         
101506,8403 ,PROCEDURE,NA,NA,AMPUTATION THROUGH HAND  
101507,8404 ,PROCEDURE,NA,NA,DISARTICULATION OF WRIST 
101508,8407 ,PROCEDURE,NA,NA,AMPUTATION THRU HUMERUS  
101509,8408 ,PROCEDURE,NA,NA,SHOULDER DISARTICULATION 
101510,8411 ,PROCEDURE,NA,NA,TOE AMPUTATION           
101511,8412 ,PROCEDURE,NA,NA,AMPUTATION THROUGH FOOT  
101512,8413 ,PROCEDURE,NA,NA,DISARTICULATION OF ANKLE 
101513,8414 ,PROCEDURE,NA,NA,AMPUTAT THROUGH MALLEOLI 
101514,8415 ,PROCEDURE,NA,NA,BELOW KNEE AMPUTAT NEC   
101515,8417 ,PROCEDURE,NA,NA,ABOVE KNEE AMPUTATION    
101516,8418 ,PROCEDURE,NA,NA,DISARTICULATION OF HIP   
101517,8419 ,PROCEDURE,NA,NA,HINDQUARTER AMPUTATION   
101518,8421 ,PROCEDURE,NA,NA,THUMB REATTACHMENT       
101519,8422 ,PROCEDURE,NA,NA,FINGER REATTACHMENT      
101520,8423 ,PROCEDURE,NA,NA,FOREARM/WRIST/HAND REATT 
101521,843  ,PROCEDURE,NA,NA,AMPUTATION STUMP REVIS   
101522,8448 ,PROCEDURE,NA,NA,IMPLANT LEG PROSTHESIS   
101523,8451 ,PROCEDURE,NA,NA,INSERT INTERBODY SPINAL  
101524,8452 ,PROCEDURE,NA,NA,INSERT RECOMBINANT BONE  
101525,8455 ,PROCEDURE,NA,NA,INSERT BONE VOID FILLER  
101526,8456 ,PROCEDURE,NA,NA,INSERTION OR REPLACEMENT 
101527,8457 ,PROCEDURE,NA,NA,REMOVE (CEMENT) SPACER   
101528,8459 ,PROCEDURE,NA,NA,INSERT OTH SPINAL DEVICE 
101529,8471 ,PROCEDURE,NA,NA,APPLICATION OF EXTERNAL  
101530,8472 ,PROCEDURE,NA,NA,APPLICATION OF EXTERNAL  
101531,850  ,PROCEDURE,NA,NA,MASTOTOMY                
101532,8511 ,PROCEDURE,NA,NA,BREAST BIOPSY - CLOSED   
101533,8521 ,PROCEDURE,NA,NA,LOCAL EXCIS BREAST LES   
101534,8525 ,PROCEDURE,NA,NA,EXCISION OF NIPPLE       
101535,8531 ,PROCEDURE,NA,NA,UNILAT REDUCT MAMMOPLAST 
101536,8532 ,PROCEDURE,NA,NA,BILAT REDUCT MAMMOPLASTY 
101537,8534 ,PROCEDURE,NA,NA,UNILAT SUBQ MAMMECT NEC  
101538,8536 ,PROCEDURE,NA,NA,BILAT SUBQ MAMMECTOM NEC 
101539,8541 ,PROCEDURE,NA,NA,UNILAT SIMPLE MASTECTOMY 
101540,8542 ,PROCEDURE,NA,NA,BILAT SIMPLE MASTECTOMY  
101541,8543 ,PROCEDURE,NA,NA,UNILAT EXTEN SIMP MASTEC 
101542,8544 ,PROCEDURE,NA,NA,BILAT EXTEND SIMP MASTEC 
101543,8545 ,PROCEDURE,NA,NA,UNILAT RADICAL MASTECTOM 
101544,8547 ,PROCEDURE,NA,NA,UNIL EXT RAD MASTECTOMY  
101545,8548 ,PROCEDURE,NA,NA,BIL EXTEN RAD MASTECTOMY 
101546,8553 ,PROCEDURE,NA,NA,UNILAT BREAST IMPLANT    
101547,8554 ,PROCEDURE,NA,NA,BILATERAL BREAST IMPLANT 
101548,856  ,PROCEDURE,NA,NA,MASTOPEXY                
101549,857  ,PROCEDURE,NA,NA,TOTAL BREAST RECONSTRUCT 
101550,8571 ,PROCEDURE,NA,NA,LATISSIMUS DORSI MYOCUTA 
101551,8573 ,PROCEDURE,NA,NA,TRANSVERSE RECTUS ABDOMI 
101552,8574 ,PROCEDURE,NA,NA,DEEP INFERIOR EPIGASTRIC 
101553,8581 ,PROCEDURE,NA,NA,SUTURE BREAST LACERATION 
101554,8582 ,PROCEDURE,NA,NA,BREAST SPLIT-THICK GRAFT 
101555,8584 ,PROCEDURE,NA,NA,BREAST PEDICLE GRAFT     
101556,8585 ,PROCEDURE,NA,NA,BREAST MUSCLE FLAP GRAFT 
101557,8589 ,PROCEDURE,NA,NA,MAMMOPLASTY NEC          
101558,8591 ,PROCEDURE,NA,NA,ASPIRATION OF BREAST     
101559,8594 ,PROCEDURE,NA,NA,BREAST IMPLANT REMOVAL   
101560,8595 ,PROCEDURE,NA,NA,INSER BREAST TISSUE EXPA 
101561,8596 ,PROCEDURE,NA,NA,REMOVAL BREAST TISSUE EX 
101562,8601 ,PROCEDURE,NA,NA,ASPIRATION SKIN & SUBQ   
101563,8602 ,PROCEDURE,NA,NA,SKIN DEFECT TATTOOING    
101564,8603 ,PROCEDURE,NA,NA,INCISION PILONIDAL SINUS 
101565,8604 ,PROCEDURE,NA,NA,OTHER SKIN & SUBQ I & D  
101566,8605 ,PROCEDURE,NA,NA,INCISION W/REMOVAL FOREI 
101567,8606 ,PROCEDURE,NA,NA,INSERTION INFUSION PUMP  
101568,8607 ,PROCEDURE,NA,NA,INS TOTAL IMPLAN VAS ACC 
101569,8609 ,PROCEDURE,NA,NA,SKIN & SUBQ INCISION NEC 
